#timestep	summed_sq_end_to_end_distance	summed_sq_distance_of_cm	summed_auto_corr_ee_vector
31200	229.0864751	42.76173338	708.3905592
31300	286.4867701	40.36998163	789.2254467
31400	273.981614	38.85643325	741.3874826
31500	281.2436907	36.06463303	792.5768318
31600	339.2216138	37.45672283	882.9854431
31700	302.4084964	35.45398014	793.7534943
31800	206.0697179	36.87142334	687.8305092
31900	309.4830961	36.59164885	814.5844383
32000	366.3616773	36.17034786	865.08494
32100	401.5240907	37.27804366	920.937994
32200	320.558105	38.15480723	730.8174276
32300	316.4287886	36.09889108	683.2860126
32400	356.4384207	35.19866683	714.9742146
32500	246.6374548	32.86727896	650.4921312
32600	281.2403282	33.2547462	747.8419294
32700	343.3380283	33.06122444	770.2795925
32800	228.212973	31.32119416	633.6164646
32900	211.7898844	27.15478658	599.468627
33000	189.6245047	27.97409571	583.5366735
33100	184.7711824	26.90392657	623.749136
33200	179.632931	26.90606118	589.6899452
33300	185.8827708	29.56533924	650.8763456
33400	187.0677856	25.55558623	663.932766
33500	143.6000563	28.33213779	557.603323
33600	161.0842703	35.15985179	590.8066063
33700	181.0054721	34.85108419	580.2919264
33800	195.992172	37.76280801	636.2753572
33900	186.2192629	38.92237778	623.6719847
34000	224.4120584	36.51691504	705.5305872
34100	180.9608222	34.59565824	649.1345301
34200	150.9214442	33.30999957	588.5073481
34300	165.3760656	33.59352503	607.8228836
34400	194.8056826	31.24692877	679.5944796
34500	245.5158501	28.94483136	739.9664688
34600	258.7964227	26.12901394	731.3934689
34700	242.0154095	26.43738836	727.275898
34800	307.1521583	28.13410114	810.3082657
34900	369.1591157	33.35440703	813.619276
35000	342.514529	33.10305795	840.1228733
35100	251.3858026	33.74055264	755.5235071
35200	361.1423316	41.25478941	905.0751076
35300	311.7891004	41.81587356	836.0860519
35400	388.4046494	44.21156583	943.9726334
35500	367.4415434	41.54350336	893.6053123
35600	364.8642783	39.31587557	846.5935822
35700	304.210736	41.76924944	798.72258
35800	181.0833412	42.02293113	566.6105385
35900	248.4966991	43.13881574	655.867815
36000	199.7754886	39.6959542	538.1705885
36100	269.6634062	40.15261124	636.1369896
36200	241.3825974	37.00482051	688.9190388
36300	210.5687166	37.0932883	584.7835712
36400	196.8161475	32.75424569	529.5650177
36500	260.2389567	36.60830721	680.6632891
36600	248.6571158	34.96155941	602.1659317
36700	266.6173441	31.88316966	654.1033821
36800	315.452469	30.35542878	779.5763941
36900	347.3723651	32.28463145	830.8548107
37000	341.3183902	33.52810612	803.4353981
37100	385.2378866	32.98959515	841.5121574
37200	394.7994142	28.27299921	886.8365593
37300	357.2782521	30.11543295	834.1048851
37400	350.2026328	28.2378839	869.8700027
37500	307.5270894	23.50090139	781.4583063
37600	238.2994688	21.38897084	672.4899712
37700	230.3239751	20.08811532	675.96206
37800	203.9979828	17.90180948	601.3393707
37900	146.0630999	18.47088242	532.9979467
38000	132.0243109	17.81919931	489.6012058
38100	136.6967864	19.23517229	524.6979904
38200	129.3238929	18.09639945	521.21978
38300	114.6517605	16.63260536	475.6979437
38400	114.3138598	14.27138097	473.9216413
38500	164.1146878	12.28515312	531.5236607
38600	217.3328733	11.40083411	641.6037502
38700	214.1664893	12.16830758	592.4098206
38800	187.964692	11.75520546	539.5190773
38900	165.6125693	9.61823429	533.943903
39000	110.5657929	9.109266612	450.9491997
39100	111.4166457	9.307529177	377.7819176
39200	113.010918	8.485723686	376.0058255
39300	142.5893103	9.726869825	450.3513823
39400	67.71598193	10.16367959	309.0661159
39500	132.2460256	10.23746597	427.8574562
39600	234.2281764	9.101596344	568.4772167
39700	277.7688818	11.98953104	535.0814056
39800	184.0195441	11.47414743	426.1601744
39900	173.0815521	10.0349711	355.5304503
40000	135.3793666	9.545248394	312.7149611
40100	141.3606674	10.7388514	310.2009783
40200	176.8689318	13.92245133	481.3806906
40300	158.1499696	11.43949088	489.4663429
40400	112.3526537	12.64480225	471.1743822
40500	201.8804119	10.34028423	560.3161888
40600	116.5632507	8.809467904	375.1618576
40700	125.1256522	8.038478153	463.9908066
40800	98.88695488	7.840407888	234.7216339
40900	132.4935971	7.656746835	247.9730353
41000	168.8196303	9.020504079	348.406806
41100	158.7643761	9.303351943	392.5320215
41200	138.5142621	9.091435799	384.8180599
41300	151.2828537	8.990857332	488.7485695
41400	127.4818664	7.490842469	440.7731724
41500	93.47260925	5.179860788	329.1115513
41600	99.08024038	4.271231494	382.6180096
41700	103.974384	3.869378514	300.884994
41800	73.90198416	5.269927419	177.355835
41900	52.96378911	6.99973843	215.1524477
42000	82.73853491	7.550981283	286.407186
42100	147.9826289	8.214101964	318.9355707
42200	148.8040844	9.895684138	380.955121
42300	192.6220491	10.20277428	410.8922081
42400	159.0272208	11.98183163	273.3219099
42500	219.5698434	11.20353747	291.3198452
42600	251.094511	10.69254478	314.0481691
42700	241.0577619	12.74351647	322.3776822
42800	207.4836416	8.533343378	322.7280874
42900	159.2880056	8.767052229	438.3271351
43000	202.820745	8.299266696	412.2276592
43100	118.869336	8.473813653	394.1276188
43200	102.7393999	9.352338466	376.9792824
43300	188.4055229	9.486315812	545.9224482
43400	163.8406759	9.470853979	534.1878338
43500	134.6595295	9.564162943	515.5065184
43600	134.5253644	10.78040826	489.4686794
43700	93.58752992	7.860250514	442.9980831
43800	67.47790012	7.038039166	337.3694506
43900	52.66931306	6.711443969	256.7491241
44000	83.45428696	7.615444466	319.9737954
44100	53.57917706	8.613346659	300.2751436
44200	35.81509928	9.890573374	201.7211123
44300	35.00909436	10.98366683	221.5610991
44400	57.76571221	11.43817539	339.5013685
44500	54.24854776	11.24898281	287.9024773
44600	30.73404081	10.08632194	228.4140129
44700	47.49040341	11.42987686	313.4783897
44800	28.24249465	10.74904427	201.1367297
44900	32.29687452	9.832707203	257.4860802
45000	36.27232079	10.03544424	232.3559957
45100	20.52156354	10.92949266	215.6647491
45200	40.86090275	10.70839196	294.8629169
45300	14.86973314	11.17686575	184.594774
45400	26.05074518	11.00889534	224.9836774
45500	38.86027012	11.17784664	287.4293356
45600	40.24424753	12.4213038	305.3985553
45700	76.89559701	11.43232266	418.9575329
45800	46.50752163	12.23357105	325.628551
45900	77.90133854	13.40610529	417.4559097
46000	104.7052598	16.80853501	443.1008892
46100	111.2650275	17.84338604	395.4037228
46200	136.8899012	18.1270967	487.5980759
46300	187.1455638	19.02387961	591.5794277
46400	222.4902755	21.58747515	660.6323166
46500	176.5756093	20.80134951	542.299468
46600	158.6876752	20.18782851	549.0357437
46700	120.5577855	21.89441041	432.2304535
46800	96.40944195	21.41691391	424.0195646
46900	79.99204386	19.88396483	415.968399
47000	100.5304736	18.37106153	490.5705738
47100	138.5293252	17.2709275	540.614336
47200	123.8704444	17.80163771	515.1237993
47300	187.0220895	18.79739211	641.0673828
47400	154.7447378	17.76111463	601.966815
47500	155.0015244	15.47221643	595.7424669
47600	133.0636409	16.42345959	527.1547756
47700	86.90468892	19.57240847	446.0846958
47800	59.01096064	21.86585083	365.1747131
47900	74.27053662	20.48170723	393.4534912
48000	76.57195293	16.68742684	399.3019896
48100	115.0049847	13.92325932	437.017993
48200	84.62839953	13.56964167	377.5953712
48300	79.10479551	14.90579478	385.2874398
48400	95.98302461	15.8706208	430.5147133
48500	137.8530103	18.21315681	527.3684721
48600	114.3280351	19.35393717	516.5856552
48700	149.8566143	20.82155319	540.9746714
48800	150.4840999	19.32128128	490.075469
48900	162.5752736	22.62677459	535.7972164
49000	159.1192965	19.25350435	536.2888165
49100	154.9346407	22.61385645	538.0139027
49200	131.7845904	24.20472053	482.5009966
49300	169.424623	23.28725118	553.9305286
49400	143.9021786	24.70897397	529.5004368
49500	106.973836	23.22785901	443.5107584
49600	113.3374622	24.15326842	372.565887
49700	143.5905974	24.20016	441.9585266
49800	154.9834049	26.09561012	455.0844345
49900	142.8718389	28.07058055	496.3227615
50000	168.0276657	26.28302095	510.7304277
50100	223.5093055	28.3628328	598.8916979
50200	294.2843761	28.19143788	725.4349213
50300	240.1389879	30.47374357	691.1415195
50400	220.8645224	31.89887892	671.314991
50500	211.5077219	31.70447322	659.1383572
50600	170.2279604	30.28171901	591.4377422
50700	149.8403584	26.71857796	534.0344658
50800	157.2982275	28.9481214	600.4533224
50900	149.7359507	26.69359976	594.407156
51000	101.4913931	25.88669012	471.0115747
51100	87.04961398	24.16944241	431.3887053
51200	81.46318552	24.07238142	407.9254112
51300	74.81290288	22.77281504	408.8166466
51400	59.30900282	26.20175153	368.4787374
51500	134.0130173	26.52344975	463.4086437
51600	135.9575323	29.97045381	532.773736
51700	79.70943078	28.40782972	345.9119358
51800	41.65064037	29.35827412	250.8309278
51900	82.72051762	27.50517196	418.2858353
52000	154.8166191	28.86992483	594.9679165
52100	70.21202075	27.90417533	409.2917976
52200	96.68603123	30.59404968	477.4814892
52300	127.9346516	30.17236435	552.8109703
52400	147.1530351	30.57588038	572.3438005
52500	143.6532839	31.88296983	562.8757801
52600	64.89287913	29.60996918	382.2528143
52700	80.07517081	26.4662226	421.0213184
52800	58.33702163	26.21639619	360.1264668
52900	66.71408106	24.1512433	325.4051347
53000	43.74025153	24.03922689	286.2991695
53100	26.87765108	26.21604297	241.9685755
53200	38.6949999	22.92285303	263.590332
53300	30.57195731	22.23594663	257.3800964
53400	18.56516311	25.43559733	210.8133764
53500	26.79712536	27.14125579	226.7641621
53600	13.04745382	26.99570092	172.5172896
53700	40.00943032	27.83460813	133.3853076
53800	10.09304815	27.88565497	19.23583746
53900	7.810388026	29.39446118	-7.138936758
54000	10.06682433	32.26730348	-10.39607322
54100	14.53868928	34.74753834	-0.3386701345
54200	11.43823999	37.21583048	-16.79937398
54300	39.73698104	37.32589044	82.75642681
54400	16.15374358	35.66970243	138.0186262
54500	10.26215439	34.62052249	80.44265306
54600	3.689774295	35.77755453	-4.703545153
54700	11.27718999	34.89532842	-36.03079838
54800	3.176351315	36.39854438	-33.91546667
54900	13.15055966	32.91577749	-115.3596263
55000	11.83314376	36.42926944	-168.2008591
55100	23.41023879	39.79503785	-125.3396678
55200	3.841778263	36.84357043	18.88673192
55300	3.391665492	37.63927788	63.43076253
55400	8.887326581	42.33934952	18.07748151
55500	7.569386126	39.93056046	-98.63793516
55600	23.42944085	44.80698853	-187.2441688
55700	43.44214427	42.60988216	-297.1032953
55800	52.16415252	38.7210648	-329.5877304
55900	55.15322107	38.22413802	-334.7446241
56000	28.34544082	39.64095385	-226.3869572
56100	31.00368456	37.20620052	-174.6557264
56200	40.25746052	37.52600771	-220.5819411
56300	48.62409327	36.51998176	-137.4613705
56400	37.41496995	38.47750987	-248.8858132
56500	40.92433934	37.79183337	-248.5642872
56600	30.66702183	41.98353606	-131.733716
56700	55.8274066	45.54027253	-122.574441
56800	43.68685584	37.02246813	-54.0401504
56900	28.88222542	38.49946913	-140.3111787
57000	12.20558232	34.52581784	18.97090149
57100	39.36362239	36.39419653	20.42641962
57200	57.12437346	38.12950027	94.17858076
57300	42.57303528	39.74108672	135.3346045
57400	35.00090348	39.35224482	112.5963621
57500	20.86065332	38.53655452	105.5035713
57600	22.87416959	34.26816051	-36.13104308
57700	75.34381834	37.0453245	-79.57317638
57800	52.83253705	36.76439081	150.9367607
57900	59.71473277	34.67659591	61.92131209
58000	93.91334845	34.89248592	209.976161
58100	145.9309619	38.1452266	245.2389073
58200	191.4016042	35.343893	78.03879547
58300	230.8413785	33.03736808	100.9497054
58400	185.7954695	35.64068962	80.13420558
58500	190.9286285	32.66369313	113.783936
58600	211.9915553	32.23159763	128.9004035
58700	195.4258656	32.86035748	220.0295687
58800	244.2804579	31.58312929	198.9581518
58900	202.1865582	33.59066887	270.4608631
59000	230.4220009	37.47906754	222.2716293
59100	129.9373007	36.56440205	183.5960596
59200	118.1838701	35.26885327	133.2247548
59300	143.9289612	35.40975098	81.10904098
59400	95.16581735	35.02138937	-140.2940404
59500	111.0623013	34.25999148	-100.6089382
59600	103.2825986	33.01861293	-122.5248954
59700	122.693357	31.59461016	-77.8564899
59800	122.4694385	31.39236512	3.098365307
59900	191.4124774	27.52350434	-81.19418311
60000	138.4412559	28.78614396	66.5468502
60100	127.8059857	28.72085077	-27.45713252
60200	96.40170612	27.94769278	67.0555768
60300	46.41988853	27.02396458	104.6083288
60400	50.9916672	28.90064179	199.1731567
60500	41.3329277	27.65987836	112.4291854
60600	94.93595765	27.20939202	304.3444424
60700	140.1590128	26.11369861	259.1500435
60800	151.0035989	29.55524819	276.4937582
60900	116.6829259	30.8189026	329.0900087
61000	180.2834215	31.56060353	315.2117238
61100	210.1601594	27.56205485	368.2441292
61200	252.1934457	26.27313872	360.0606709
61300	247.5443201	28.72624413	386.8368912
61400	277.8706001	28.53475115	345.7285905
61500	280.6296602	29.34442255	326.1034918
61600	269.2227398	28.76658156	336.0812902
61700	235.5793499	29.37120668	277.1777458
61800	228.910438	30.24623286	326.5538058
61900	221.21769	28.27337691	301.1356773
62000	229.6825264	23.79514676	306.7694979
62100	268.7440901	26.39900637	294.1480641
62200	268.8201765	27.24125336	356.1619835
62300	330.5669633	28.17240301	414.0451307
62400	300.6100441	31.87654713	543.2386484
62500	176.2250177	26.28675689	391.9357929
62600	246.0251422	27.33188488	475.8799572
62700	286.6815574	25.31555086	542.9280338
62800	312.6513117	23.79337178	621.2012272
62900	228.971645	24.380327	545.1445332
63000	205.5277856	28.30174631	512.1886854
63100	268.0040918	27.41301389	560.9291468
63200	228.4856143	29.06451557	510.7448673
63300	184.6121432	25.70072716	473.8496304
63400	215.7082014	27.92792923	562.9957829
63500	191.6075338	25.838285	553.5805206
63600	210.7389376	21.05755995	650.9599457
63700	210.0680777	22.40804113	596.2314501
63800	236.3832729	23.3922024	616.6376648
63900	203.6663325	25.55107878	603.2819853
64000	233.6545519	31.31561525	633.0274792
64100	186.3181559	33.79930037	560.049407
64200	120.1123531	35.29939035	489.081007
64300	95.35549938	37.37928632	439.8157206
64400	163.0580019	35.96957835	588.5155725
64500	209.3605321	35.2991979	617.5515642
64600	127.5711617	38.69171551	475.4761162
64700	106.3474123	41.59741925	400.4198656
64800	125.9616944	40.43607702	392.4381409
64900	206.2313105	42.05997711	557.3110733
65000	181.63506	46.41375297	448.9187794
65100	188.2274563	45.09492129	421.6737165
65200	182.4889738	42.1760826	378.7020788
65300	161.6204261	43.26733317	288.3646841
65400	157.2331229	41.97864504	412.9782839
65500	135.9285189	38.03801434	327.1566935
65600	192.7040682	38.76767365	358.8521852
65700	179.6408154	37.13057832	258.8677006
65800	192.8955519	32.10918857	213.4773159
65900	246.3905497	35.43590082	322.2948065
66000	218.7287276	36.34971253	346.244607
66100	265.6566951	35.38525188	466.6695595
66200	160.6876317	37.75767749	385.2477427
